facet,year,series,value
Latin America,2001,Paraguay,70.3251156517049
Latin America,2001,Peru,61.5753546648567
Latin America,2002,Brazil,62.1836580265234
Latin America,2002,Chile,60.6606161831059
Latin America,2002,Colombia,62.6046017753606
Latin America,2002,Costa Rica,65.0472320456783
Latin America,2002,Mexico,69.4098932244984
Latin America,2002,Panama,62.462963424238
Latin America,2002,Paraguay,68.4436912958269
Latin America,2002,Peru,62.1597351261963
Latin America,2002,Region average,64.1215488876785
Latin America,2003,Brazil,61.3278872821435
Latin America,2003,Chile,59.9886665306637
Latin America,2003,Colombia,62.1833295495179
Latin America,2003,Costa Rica,64.0448233101247
Latin America,2003,Mexico,69.0455013789874
Latin America,2003,Panama,62.7051225726474
Latin America,2003,Paraguay,69.4709530110317
Latin America,2003,Peru,59.4566154279257
Latin America,2003,Region average,63.5278623828802
Latin America,2004,Argentina,59.1681323410068
Latin America,2004,Brazil,60.8874406550096
Latin America,2004,Chile,58.7798888631248
Latin America,2004,Colombia,61.7936647359091
Latin America,2004,Costa Rica,62.9292036621674
Latin America,2004,Mexico,68.4995362610169
Latin America,2004,Panama,63.1690708314361
Latin America,2004,Paraguay,68.0826817523134
Latin America,2004,Peru,57.0500882010177
Latin America,2004,Region average,62.2621897003336
Latin America,2005,Argentina,58.5511898693772
Latin America,2005,Brazil,60.2248020094929
Latin America,2005,Chile,57.571111195586
Latin America,2005,Colombia,61.5329423307332
Latin America,2005,Costa Rica,62.2327816387078
Latin America,2005,Mexico,68.1971457875456
Latin America,2005,Panama,63.6330190902248
Latin America,2005,Paraguay,67.248544332923
Latin America,2005,Peru,57.6452315850986
Latin America,2005,Region average,62.3567284197446
Latin America,2006,Argentina,58.0054536098937
Latin America,2006,Brazil,59.2592408778108
Latin America,2006,Chile,56.3623335280471
Latin America,2006,Colombia,61.3813037238087
Latin America,2006,Costa Rica,60.1184570143974
Latin America,2006,Mexico,68.1328969338209
Latin America,2006,Panama,64.0969673490136
Latin America,2006,Paraguay,66.5437859430897
Latin America,2006,Peru,57.2621136480884
Latin America,2006,Region average,61.7804069140784
Latin America,2007,Argentina,57.9246304420732
Latin America,2007,Brazil,58.3347034122386
Latin America,2007,Chile,54.9955038533812
Latin America,2007,Colombia,61.2296651168843
Latin America,2007,Costa Rica,59.046851723473
Latin America,2007,Mexico,67.9100001574444
Latin America,2007,Panama,63.403347403791
Latin America,2007,Paraguay,65.8016691914386
Latin America,2007,Peru,57.76155474344
Latin America,2007,Region average,61.27116140894
Latin America,2008,Argentina,57.8438072742527
Latin America,2008,Brazil,57.9661076277727
Latin America,2008,Chile,53.6286741787153
Latin America,2008,Colombia,61.0780265099598
Latin America,2008,Costa Rica,58.5470270296741
Latin America,2008,Mexico,67.29482589757
Latin America,2008,Panama,63.4369456640782
Latin America,2008,Paraguay,67.4408491503165
Latin America,2008,Peru,58.2274474427781
Latin America,2008,Region average,61.06244749082
Latin America,2009,Argentina,57.440334512069
Latin America,2009,Brazil,57.6000970796322
Latin America,2009,Chile,52.2618445040494
Latin America,2009,Colombia,61.2624527792191
Latin America,2009,Costa Rica,56.8007280870172
Latin America,2009,Mexico,66.3266477355833
Latin America,2009,Panama,63.1134095254677
Latin America,2009,Paraguay,66.6534902852742
Latin America,2009,Peru,57.1934435038471
Latin America,2009,Region average,60.2102982716943
Latin America,2010,Argentina,56.9721556096458
Latin America,2010,Brazil,58.7374832637777
Latin America,2010,Chile,50.9222705594922
Latin America,2010,Colombia,60.5176798617966
Latin America,2010,Costa Rica,55.3007193817776
Latin America,2010,Mexico,65.697112694303
Latin America,2010,Panama,61.9661738367184
Latin America,2010,Paraguay,63.5555941747576
Latin America,2010,Peru,56.6401109781563
Latin America,2010,Region average,59.2244547676661
Latin America,2011,Argentina,56.8198636192246
Latin America,2011,Brazil,59.8748694479232
Latin America,2011,Chile,50.4465441372356
Latin America,2011,Colombia,59.6077792136583
Latin America,2011,Costa Rica,53.2961208595527
Latin America,2011,Mexico,65.493095330049
Latin America,2011,Panama,62.7891573280232
Latin America,2011,Paraguay,61.6909328301717
Latin America,2011,Peru,55.0177810874278
Latin America,2011,Region average,58.5694015604717
Latin America,2012,Argentina,57.0205615843085
Latin America,2012,Brazil,62.3290903256106
Latin America,2012,Chile,48.3783805984541
Latin America,2012,Colombia,59.6782140697092
Latin America,2012,Costa Rica,51.3308538589437
Latin America,2012,Mexico,64.7190427093021
Latin America,2012,Panama,64.1518613777705
Latin America,2012,Paraguay,63.4168029856244
Latin America,2012,Peru,52.9966707533234
Latin America,2012,Region average,58.3116554597873
